4K&8K,#genre#
CCTV13,http://192.168.6.1:35455/tptv/G_CCTV-13-HQ.m3u8#http://192.168.6.1:35455/ysptp/cctv13.m3u8#http://192.168.6.1:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://192.168.6.1:35455/tptv/G_CCTV-14-CQ.m3u8#http://192.168.6.1:35455/ysptp/cctv14.m3u8#http://192.168.6.1:35455/itv/5000000004000006673.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000001000008170.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://192.168.6.1:35455/tptv/H265-5500k-1080P-cctv15.m3u8#http://192.168.6.1:35455/ysptp/cctv15.m3u8#http://192.168.6.1:35455/itv/5000000011000031109.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://192.168.6.1:35455/tptv/G_CCTV-16-CQ.m3u8#http://192.168.6.1:35455/ysptp/cctv16.m3u8#http://192.168.6.1:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://192.168.6.1:35455/tptv/G_CCTV-17-CQ.m3u8#http://192.168.6.1:35455/ysptp/cctv17.m3u8#http://192.168.6.1:35455/itv/1000000006000268004.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
中国教育1台,http://192.168.6.1:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育2台,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000266004/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266004
中国教育4台,http://192.168.6.1:35455/itv/5000000011000031126.m3u8?cdn=bestzb
早期教育,http://192.168.6.1:35455/tptv/G_CETV-ZQJY-CQ.m3u8
山东教育,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000002000004097/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000004097#http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000004097/index.m3u8?channel-id=ystenlive&Contentid=1000000002000004097&livemode=1&stbId=3#http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000004097&livemode=1&stbId=4
CHC动作电影,http://ik6.iptv8.net:8888/udp/225.1.4.208:1261$LR
CHC高清电影,http://119.98.37.126:8888/rtp/239.69.1.241:11088$LR#http://61.240.38.128:8084/rtp/226.0.2.93:8004$LR
CHC家庭影院,http://171.116.226.246:8084/rtp/226.0.2.240:9820$LR#http://171.116.226.246:8082/rtp/226.0.2.240:9820$LR
兵器科技,http://192.168.6.1:35455/tptv/G_BINGQIKJ-CQ.m3u8
第一剧场,http://192.168.6.1:35455/tptv/G_DIYIJC-CQ.m3u8
电视指南,http://192.168.6.1:35455/tptv/G_DIANSHIZN-CQ.m3u8
风云剧场,http://192.168.6.1:35455/tptv/G_FENGYUNJC-CQ.m3u8
风云音乐,http://192.168.6.1:35455/tptv/G_FENGYUNYY-CQ.m3u8
风云足球,http://192.168.6.1:35455/tptv/G_FENGSHANGZQ-CQ.m3u8
高尔夫网球,http://192.168.6.1:35455/tptv/G_CCTV-GOLF-CQ.m3u8
世界地理,http://192.168.6.1:35455/tptv/G_SHIJIEDL-CQ.m3u8
怀旧剧场,http://192.168.6.1:35455/tptv/G_HUAIJIUJC-CQ.m3u8
央视台球,http://192.168.6.1:35455/tptv/G_TAIQIU-CQ.m3u8
文化精品,http://192.168.6.1:35455/tptv/G_CCTV-WENHUA-CQ.m3u
求索动物,http://192.168.6.1:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://192.168.6.1:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://192.168.6.1:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://192.168.6.1:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
CGTN,http://192.168.6.1:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTNen,http://192.168.6.1:35455/ysptp/cgtnen.m3u8
CGTN-记录,http://192.168.6.1:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTN-DOC,http://192.168.6.1:35455/ysptp/cgtndoc.m3u8
CNN,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8
省台卫视,#genre#
广东卫视,http://192.168.6.1:35455/tptv/G_GUANGDONG-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000014176.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000031076.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广东珠江,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000004000011655/1.m3u8?Contentid=1000000004000011655&livemode=1&stbId=3&channel-id=ystenlive#http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000004000011655/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3#http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=4
嘉佳卡通,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000025964/index.m3u8?channel-id=ystenlive&Contentid=1000000002000025964&livemode=1&stbId=00#http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000025964&livemode=1&stbId=4
大湾区卫视,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000011619/index.m3u8?channel-id=ystenlive&Contentid=1000000002000011619&livemode=1&stbId=3
深圳卫视,http://192.168.6.1:35455/tptv/G_SHENZHEN-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/5000000004000007410.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/6000000001000002116.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
广西卫视,http://192.168.6.1:35455/itv/5000000011000031118.m3u8?cdn=bestzb
安徽卫视,http://192.168.6.1:35455/tptv/G_ANHUI-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000030159.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000009954.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
北京纪实科教,http://192.168.6.1:35455/tptv/HD-8000k-1080P-beijingjishi.m3u8#http://192.168.6.1:35455/itv/1000000001000001910.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
